state_code,state_code_description,create_user,create_timestamp,update_user,update_timestamp
,STATE CODES                                     2,,,,
AB,ALBERTA,,,,
AK,ALASKA,,,,
AL,ALABAMA,,,,
AR,ARKANSAS,,,,
AZ,ARIZONA,,,,
BC,BRITISH COLUMBIA,,,,
CA,CALIFORNIA,,,,
CD,CANADA,,,,
CO,COLORADO,,,,
CT,CONNECTICUT,,,,
DC,DISTRICT OF COLUMBIA,,,,
DE,DELAWARE,,,,
FL,FLORIDA,,,,
GA,GEORGIA,,,,
HI,HAWAII,,,,
IA,IOWA,,,,
ID,IDAHO,,,,
IL,ILLINOIS,,,,
IN,INDIANA,,,,
KS,KANSAS,,,,
KY,KENTUCKY,,,,
LA,LOUISIANA,,,,
LB,LABRADOR,,,,
MA,MASSACHUSETTS,,,,
MB,MANITOBA,,,,
MD,MARYLAND,,,,
ME,MAINE,,,,
MI,MICHIGAN,,,,
MN,MINNESOTA,,,,
MO,MISSOURI,,,,
MS,MISSISSIPPI,,,,
MT,MONTANA,,,,
NB,NEW BRUNSWICK,,,,
NC,NORTH CAROLINA,,,,
ND,NORTH DAKOTA,,,,
NE,NEBRASKA,,,,
NF,NEWFOUNDLAND,,,,
NH,NEW HAMPSHIRE,,,,
NJ,NEW JERSEY,,,,
NM,NEW MEXICO,,,,
NS,NOVA SCOTIA,,,,
NT,NORTHWEST TERRITORY,,,,
NV,NEVADA,,,,
NY,NEW YORK,,,,
OH,OHIO,,,,
OK,OKLAHOMA,,,,
ON,ONTARIO,,,,
OR,OREGON,,,,
PA,PENNSYLVANIA,,,,
PE,PRINCE EDWARD ISLAND,,,,
PQ,QUEBEC,,,,
PR,PUERTO RICO,,,,
RI,RHODE ISLAND,,,,
SC,SOUTH CAROLINA,,,,
SD,SOUTH DAKOTA,,,,
SK,SASKATCHEWAN,,,,
TN,TENNESSEE,,,,
TX,TEXAS,,,,
UT,UTAH,,,,
VA,VIRGINIA,,,,
VI,VIRGIN ISLANDS,,,,
VT,VERMONT,,,,
WA,WASHINGTON,,,,
WI,WISCONSIN,,,,
WV,WEST VIRGINIA,,,,
WY,WYOMING,,,,
YT,YUKON TERRITORY,,,,
01,ALABAMA,,,,
02,ARIZONA,,,,
03,ARKANSAS,,,,
04,CALIFORNIA,,,,
05,COLORADO,,,,
06,CONNECTICUT,,,,
07,DELAWARE,,,,
08,DISTRICT OF COLUMBIA,,,,
09,FLORIDA,,,,
10,GEORGIA,,,,
11,IDAHO,,,,
12,ILLINOIS,,,,
13,INDIANA,,,,
14,IOWA,,,,
15,KANSAS,,,,
16,KENTUCKY,,,,
17,LOUISIANA,,,,
18,MAINE,,,,
19,MARYLAND,,,,
20,MASSACHUSETTS,,,,
21,MICHIGAN,,,,
22,MINNESOTA,,,,
23,MISSISSIPPI,,,,
24,MISSOURI,,,,
25,MONTANA,,,,
26,NEBRASKA,,,,
27,NEVADA,,,,
28,NEW HAMPSHIRE,,,,
29,NEW JERSEY,,,,
30,NEW MEXICO,,,,
31,NEW YORK,,,,
32,NORTH CAROLINA,,,,
33,NORTH DAKOTA,,,,
34,OHIO,,,,
35,OKLAHOMA,,,,
36,OREGON,,,,
37,PENNSYLVANIA,,,,
38,RHODE ISLAND,,,,
39,SOUTH CAROLINA,,,,
40,SOUTH DAKOTA,,,,
41,TENNESSEE,,,,
42,TEXAS,,,,
43,UTAH,,,,
44,VERMONT,,,,
45,VIRGINIA,,,,
46,WASHINGTON,,,,
47,WEST VIRGINIA,,,,
48,WISCONSIN,,,,
49,WYOMING,,,,
50,ALASKA,,,,
51,HAWAII,,,,
52,PUERTO RICO,,,,
53,VIRGIN ISLANDS,,,,
77,CANADA,,,,
78,ALBERTA,,,,
79,BRITISH COLUMBIA,,,,
80,LABRADOR,,,,
81,MANITOBA,,,,
82,NEW BRUNSWICK,,,,
83,NEWFOUNDLAND,,,,
84,NORTHWEST TERRITORY,,,,
85,NOVA SCOTIA,,,,
86,ONTARIO,,,,
87,PRINCE EDWARD ISLAND,,,,
88,QUEBEC,,,,
89,SASKATCHEWAN,,,,
90,YUKON TERRITORY,,,,
