record_type,procedure_code,procedure_code_modifier,end_procedure_code,end_procedure_code_modifier,maximum_quantity,breakdown_required,anesthesia_code,hcpcs_code,effective_date,expiration_date,create_user,create_timestamp,update_user,update_timestamp
P,,,00099,ZZ,30,,,,19910101,21991231,ISERIES,,ISERIES,
P,00100,,01999,ZZ,800,,,,19910101,21991231,ISERIES,,ISERIES,
P,02000,,09999,ZZ,30,,,,19910101,21991231,ISERIES,,ISERIES,
P,1,,19999,ZZ,30,X,,,19910101,21991231,ISERIES,2006-08-22 11:06:21.000000,ISERIES,2006-08-22 11:06:21.000000
P,2,,29999,ZZ,30,X,,,19910101,21991231,ISERIES,2006-08-22 11:09:13.000000,ISERIES,2006-08-22 11:09:13.000000
P,3,,39999,ZZ,30,X,,,19910101,21991231,ISERIES,2006-08-22 11:15:21.000000,ISERIES,2006-08-22 11:15:21.000000
P,4,,49999,ZZ,30,X,,,19910101,21991231,ISERIES,2006-08-22 11:15:32.000000,ISERIES,2006-08-22 11:15:32.000000
P,5,,59999,ZZ,30,X,,,19910101,21991231,ISERIES,2006-08-22 11:15:53.000000,ISERIES,2006-08-22 11:15:53.000000
P,6,,69999,ZZ,30,X,,,19910101,21991231,ISERIES,2006-08-22 11:16:20.000000,ISERIES,2006-08-22 11:16:20.000000
P,7,,79999,ZZ,30,X,,,19910101,21991231,ISERIES,2006-08-22 11:16:42.000000,ISERIES,2006-08-22 11:16:42.000000
P,8,,89999,ZZ,30,X,,,19910101,21991231,ISERIES,2006-08-22 11:17:01.000000,ISERIES,2006-08-22 11:17:01.000000
P,9,,93739,ZZ,30,,,,19910101,21991231,ISERIES,2006-08-22 11:17:54.000000,ISERIES,2006-08-22 11:17:54.000000
P,93740,,93740,ZZ,30,X,,,19910101,21991231,ISERIES,2006-08-22 11:18:15.000000,ISERIES,2006-08-22 11:18:15.000000
P,93741,,94999,ZZ,30,,,,19910101,21991231,ISERIES,2006-08-22 11:19:00.000000,ISERIES,2006-08-22 11:19:00.000000
P,95,,95998,ZZ,30,X,,,19910101,21991231,ISERIES,2006-08-22 11:19:34.000000,ISERIES,2006-08-22 11:19:34.000000
P,95999,,95999,ZZ,30,,,,19910101,21991231,ISERIES,2006-08-22 11:19:52.000000,ISERIES,2006-08-22 11:19:52.000000
P,96,,96149,ZZ,30,,,,19910101,21991231,ISERIES,2006-08-22 11:28:38.000000,ISERIES,2006-08-22 11:28:38.000000
P,96150,,96155,ZZ,800,,,,19910101,21991231,ISERIES,2008-08-27 15:05:19.000000,ISERIES,2008-08-27 15:05:19.000000
